Transect,drone_metric,drone_value,EVI,TCB,TCW,TCG
T10,Excess Greenness,28.12844658,4356,3119,-1234,1711
T10,Excess Greenness,30.09328651,4209,3188,-1264,1663
T10,Excess Greenness,31.54841423,4393,3150,-1233,1724
T10,Excess Greenness,51.99610519,4486,3142,-1140,1763
T10,Excess Greenness,25.81814957,4145,3174,-1314,1630
T10,Excess Greenness,33.93274689,4199,3173,-1270,1660
T10,Excess Greenness,40.139328,4500,3171,-1210,1784
T10,Excess Greenness,56.21419144,4700,3135,-1145,1875
T10,Excess Greenness,17.82502365,4033,3242,-1404,1568
T10,Excess Greenness,25.0513134,4214,3228,-1358,1660
T10,Excess Greenness,38.51496887,4361,3211,-1275,1729
T10,Excess Greenness,50.35799026,4659,3066,-1184,1858
T10,Excess Greenness,41.99907684,4672,3048,-1148,1839
T10,Excess Greenness,25.84370232,4316,3035,-1194,1638
T10,Excess Greenness,17.27180862,4113,3251,-1440,1583
T10,Excess Greenness,30.52767372,4254,3230,-1358,1675
T10,Excess Greenness,37.75590515,4470,3170,-1202,1783
T10,Excess Greenness,42.54904938,4708,3162,-1188,1888
T10,Excess Greenness,34.95799637,4455,2999,-1241,1692
T10,Excess Greenness,16.58940506,4318,3089,-1309,1647
T10,Excess Greenness,16.98921776,4021,3233,-1412,1553
T10,Excess Greenness,28.44251251,4436,3146,-1310,1722
T10,Excess Greenness,40.06888199,4518,3146,-1247,1779
T10,Excess Greenness,27.58167267,4149,2955,-1256,1532
T10,Excess Greenness,31.71064949,4386,2977,-1261,1617
T10,Excess Greenness,22.37348747,4501,3007,-1189,1675
T10,Excess Greenness,20.11069298,4182,3132,-1359,1591
T10,Excess Greenness,22.48826408,4370,3158,-1326,1688
T10,Excess Greenness,40.74403763,4582,2709,-1011,1671
T10,Excess Greenness,29.20834541,4391,2838,-1151,1618
T10,Excess Greenness,21.49411583,4307,2978,-1222,1596
T10,Excess Greenness,36.80408478,4532,3009,-1161,1770
T10,Excess Greenness,40.92260361,4252,2751,-1143,1546
T10,Excess Greenness,45.93824005,4656,2662,-951,1718
T10,Excess Greenness,38.62116623,4638,2676,-950,1686
T10,Excess Greenness,27.27167892,4403,2878,-1182,1614
T10,Excess Greenness,41.9368515,4699,2972,-1131,1794
T10,Excess Greenness,37.68881226,4293,2902,-1205,1567
T10,Excess Greenness,43.8424263,4647,2715,-966,1739
T10,Excess Greenness,39.53794098,4551,2776,-1026,1685
T9,Excess Greenness,63.66862488,4527,3196,-1176,1807
T9,Excess Greenness,56.37945938,4263,3263,-1270,1692
T9,Excess Greenness,56.711586,4060,3072,-1200,1606
T9,Excess Greenness,62.39179611,4302,3215,-1217,1708
T9,Excess Greenness,58.37205505,4355,3258,-1263,1740
T9,Excess Greenness,58.05278778,4297,3271,-1323,1707
T9,Excess Greenness,63.49045563,4118,3010,-1132,1604
T9,Excess Greenness,58.65857315,4538,3272,-1223,1830
T9,Excess Greenness,56.33784866,4422,3328,-1286,1780
T9,Excess Greenness,52.24467087,4295,3322,-1315,1711
T9,Excess Greenness,62.40132141,4744,3158,-1159,1888
T9,Excess Greenness,66.16331482,4719,3279,-1163,1907
T9,Excess Greenness,60.92254257,4639,3335,-1253,1899
T9,Excess Greenness,60.20450974,4442,3360,-1321,1794
T9,Excess Greenness,56.06782913,4328,3365,-1387,1727
T9,Excess Greenness,52.63028336,4527,3336,-1278,1764
T9,Excess Greenness,57.45353317,4562,3342,-1266,1807
T9,Excess Greenness,63.31560135,4677,3326,-1277,1860
T9,Excess Greenness,65.09461975,4596,3317,-1318,1841
T9,Excess Greenness,59.11380005,4217,3287,-1434,1649
T9,Excess Greenness,55.63694763,4102,3111,-1269,1546
T9,Excess Greenness,50.12946701,4289,3236,-1346,1624
T9,Excess Greenness,60.33172226,4252,3316,-1387,1644
T9,Excess Greenness,72.28503418,4524,3169,-1243,1804
T9,Excess Greenness,67.71382904,4252,2770,-1185,1526
T9,Excess Greenness,68.57979584,4129,2827,-1232,1523
T9,Excess Greenness,72.28659058,4258,2807,-1169,1594
T9,Excess Greenness,78.22570801,4576,2769,-1083,1724
T9,Excess Greenness,52.73215103,3807,2888,-1326,1333
T9,Excess Greenness,59.213871,3825,2840,-1304,1383
T9,Excess Greenness,67.92021179,4049,2793,-1263,1428
T9,Excess Greenness,84.42694855,4266,2706,-1106,1530
T9,Excess Greenness,92.1263504,4597,2650,-969,1700
T9,Excess Greenness,51.26470947,3650,2876,-1364,1279
T9,Excess Greenness,55.58272934,3758,2895,-1396,1306
T9,Excess Greenness,72.21958923,3875,2804,-1281,1399
T9,Excess Greenness,83.2335434,4586,2789,-1064,1680
T9,Excess Greenness,71.42024994,4615,2877,-1007,1719
T9,Excess Greenness,70.45378113,4043,2833,-1245,1423
T9,Excess Greenness,77.57249451,4199,2871,-1291,1501
T9,Excess Greenness,85.973526,4369,2807,-1186,1599
T9,Excess Greenness,60.23986435,4484,2972,-1191,1676
T9,Excess Greenness,84.64681244,4664,3050,-1183,1811
T9,Excess Greenness,73.97645569,4652,3127,-1188,1816
T7,Excess Greenness,14.55935574,3623,3115,-1752,1278
T7,Excess Greenness,13.40833187,3689,3093,-1701,1292
T7,Excess Greenness,14.70184898,3633,3055,-1698,1244
T7,Excess Greenness,10.65897846,3625,3082,-1735,1292
T7,Excess Greenness,10.31198215,3711,3046,-1667,1291
T7,Excess Greenness,16.21104622,3689,3040,-1688,1284
T7,Excess Greenness,14.43553448,3721,3123,-1661,1334
T7,Excess Greenness,11.94440556,3824,3139,-1647,1362
T7,Excess Greenness,7.909898281,3822,3117,-1643,1339
T7,Excess Greenness,15.64652061,3740,3068,-1647,1315
T7,Excess Greenness,9.451842308,3630,3116,-1621,1275
T7,Excess Greenness,7.457042694,3904,3144,-1611,1375
T7,Excess Greenness,8.716590881,3799,3098,-1641,1359
T7,Excess Greenness,17.10894585,3708,3040,-1651,1302
T7,Excess Greenness,10.02718163,3579,3110,-1660,1246
T7,Excess Greenness,8.13897419,3719,3113,-1638,1320
T7,Excess Greenness,14.54520988,3785,3072,-1635,1342
T7,Excess Greenness,17.42406082,3690,3018,-1643,1281
T7,Excess Greenness,10.91436863,3747,3161,-1646,1326
T7,Excess Greenness,9.145402908,3785,3159,-1645,1359
T7,Excess Greenness,15.38247776,3708,3090,-1680,1303
T7,Excess Greenness,8.290782928,3628,3237,-1743,1281
T7,Excess Greenness,6.936236858,3624,3173,-1731,1268
T7,Excess Greenness,10.3629446,3658,3135,-1724,1275
T7,Excess Greenness,20.23685646,3601,3043,-1695,1243
T7,Excess Greenness,8.533453941,3567,3192,-1782,1251
T7,Excess Greenness,6.165195942,3464,3102,-1769,1178
T7,Excess Greenness,16.70576859,3558,3052,-1711,1213
T7,Excess Greenness,20.89519501,3562,2984,-1663,1237
T7,Excess Greenness,13.45188522,3820,3230,-1756,1360
T7,Excess Greenness,14.98506451,3634,3118,-1751,1253
T7,Excess Greenness,20.08611107,3736,2992,-1630,1280
T7,Excess Greenness,19.60389519,3618,2931,-1649,1231
T6,Excess Greenness,11.78845501,3405,2602,-1277,1243
T6,Excess Greenness,15.20811653,2699,2725,-1362,902
T6,Excess Greenness,8.223619461,3221,2622,-1372,1153
T6,Excess Greenness,12.02963161,3367,2727,-1390,1183
T6,Excess Greenness,14.36606026,2756,2746,-1361,953
T6,Excess Greenness,9.145148277,3350,2625,-1353,1173
T6,Excess Greenness,14.30623436,3365,2752,-1447,1156
T6,Excess Greenness,12.066329,2773,2737,-1397,957
T6,Excess Greenness,11.60893059,3337,2639,-1392,1146
T6,Excess Greenness,14.98968506,3369,2693,-1390,1146
T6,Excess Greenness,14.83368492,1892,2971,-1498,603
T6,Excess Greenness,9.872263908,3074,2653,-1376,1078
T6,Excess Greenness,8.538655281,3298,2745,-1451,1138
T6,Excess Greenness,14.20848846,3327,2695,-1436,1140
T6,Excess Greenness,18.52895355,2325,2992,-1415,783
T6,Excess Greenness,9.319293022,3214,2735,-1429,1126
T6,Excess Greenness,11.33566284,3346,2847,-1466,1160
T6,Excess Greenness,17.15785027,3414,2730,-1454,1164
T6,Excess Greenness,14.97516346,2983,2862,-1470,1004
T6,Excess Greenness,6.578237534,3290,2887,-1491,1139
T6,Excess Greenness,13.23564053,3376,2904,-1518,1181
T6,Excess Greenness,15.70016003,3497,2777,-1443,1194
T6,Excess Greenness,7.130403996,3026,2992,-1554,1069
T6,Excess Greenness,3.599062681,3325,3013,-1584,1177
T6,Excess Greenness,9.66957283,3365,2991,-1596,1181
T6,Excess Greenness,16.15291595,3450,2773,-1536,1165
T6,Excess Greenness,5.130308151,3114,3110,-1657,1084
T6,Excess Greenness,4.634103775,3337,3096,-1660,1169
T6,Excess Greenness,8.884984016,3439,2984,-1627,1181
T6,Excess Greenness,18.90306473,3496,2856,-1601,1189
T6,Excess Greenness,5.87863636,3217,3109,-1670,1134
T6,Excess Greenness,5.664974213,3322,3026,-1647,1140
T6,Excess Greenness,8.224653244,3375,2902,-1660,1147
T5,Excess Greenness,5.90013361,3618,3141,-1659,1316
T5,Excess Greenness,5.744409084,3504,3131,-1698,1215
T5,Excess Greenness,5.263655663,3578,3163,-1739,1240
T5,Excess Greenness,8.254078865,3568,3133,-1725,1238
T5,Excess Greenness,8.306440353,3607,3167,-1733,1265
T5,Excess Greenness,7.811959743,3650,3213,-1756,1289
T5,Excess Greenness,7.695714474,3656,3178,-1713,1292
T5,Excess Greenness,8.044436455,3546,3151,-1757,1242
T5,Excess Greenness,8.27144146,3736,3169,-1726,1314
T5,Excess Greenness,6.627946854,3644,3161,-1736,1270
T5,Excess Greenness,15.08160019,3665,3165,-1684,1309
T5,Excess Greenness,9.912337303,3568,3179,-1753,1253
T5,Excess Greenness,9.466140747,3733,3186,-1706,1326
T5,Excess Greenness,8.428243637,3694,3157,-1737,1300
T5,Excess Greenness,12.4390955,3716,3142,-1671,1307
T5,Excess Greenness,9.082091331,3676,3210,-1746,1299
T5,Excess Greenness,8.601271629,3786,3218,-1720,1353
T5,Excess Greenness,9.21250248,3719,3177,-1719,1313
T5,Excess Greenness,5.726855755,3734,3180,-1737,1310
T5,Excess Greenness,9.242508888,3843,3220,-1701,1391
T5,Excess Greenness,7.297614574,3887,3182,-1654,1406
T5,Excess Greenness,8.759810448,3968,3202,-1652,1435
T5,Excess Greenness,5.026828766,3591,3195,-1749,1265
T5,Excess Greenness,5.44656229,3680,3171,-1729,1306
T5,Excess Greenness,5.460637093,3716,3181,-1721,1334
T5,Excess Greenness,9.736721992,3838,3170,-1672,1367
T5,Excess Greenness,8.189640045,3626,3179,-1688,1290
T5,Excess Greenness,6.582182884,3678,3235,-1754,1300
T5,Excess Greenness,5.073100567,3569,3209,-1791,1260
T5,Excess Greenness,6.999000549,3588,3159,-1716,1275
T5,Excess Greenness,8.245666504,3646,3115,-1676,1272
T5,Excess Greenness,4.957483768,3592,3218,-1739,1307
T5,Excess Greenness,5.261077404,3558,3231,-1809,1271
T5,Excess Greenness,8.158567429,3587,3235,-1773,1308
T5,Excess Greenness,7.036200523,3470,3245,-1730,1275
T5,Excess Greenness,7.11717701,3586,3292,-1758,1283
T4,Excess Greenness,22.82889557,3760,2931,-1486,1387
T4,Excess Greenness,21.01147842,3605,2830,-1528,1294
T4,Excess Greenness,41.45599747,3368,2834,-1570,1212
T4,Excess Greenness,18.75132179,3764,2840,-1458,1382
T4,Excess Greenness,18.82059479,3550,2788,-1490,1248
T4,Excess Greenness,44.25888062,3381,2820,-1562,1219
T4,Excess Greenness,33.56046677,4095,2848,-1324,1530
T4,Excess Greenness,32.83503342,3774,2851,-1460,1377
T4,Excess Greenness,60.0424881,3558,2803,-1464,1284
T4,Excess Greenness,42.52612305,4079,2864,-1282,1520
T4,Excess Greenness,65.29607391,3863,2796,-1314,1446
T4,Excess Greenness,76.62961578,3944,2723,-1210,1474
T4,Excess Greenness,33.06790924,3844,2976,-1453,1435
T4,Excess Greenness,40.71957016,3923,2923,-1399,1440
T4,Excess Greenness,65.72561646,4004,2811,-1334,1478
T4,Excess Greenness,66.87692261,3811,2752,-1223,1382
T4,Excess Greenness,47.36481094,3809,2982,-1550,1413
T4,Excess Greenness,49.99092865,3900,2950,-1500,1449
T4,Excess Greenness,54.07089615,3957,2778,-1356,1438
T4,Excess Greenness,60.05507278,3787,2808,-1376,1327
T4,Excess Greenness,38.95531464,3700,2923,-1541,1329
T4,Excess Greenness,38.86460114,3819,2835,-1428,1350
T4,Excess Greenness,29.304245,3882,2769,-1369,1358
T4,Excess Greenness,33.52975082,3735,2818,-1410,1298
T4,Excess Greenness,19.67945862,3611,2817,-1489,1221
T4,Excess Greenness,18.15140152,3630,2771,-1406,1253
T4,Excess Greenness,16.47476578,3568,2735,-1407,1249
T4,Excess Greenness,29.76668358,3541,2698,-1418,1186
T4,Excess Greenness,13.79382706,3574,2813,-1482,1234
T4,Excess Greenness,15.45495605,3606,2771,-1454,1232
T4,Excess Greenness,24.18943405,3470,2696,-1397,1182
T4,Excess Greenness,39.88788223,3509,2636,-1355,1217
T4,Excess Greenness,22.2944355,3737,2817,-1493,1329
T4,Excess Greenness,39.30013657,3645,2715,-1365,1269
T4,Excess Greenness,52.02214813,3549,2608,-1337,1211
T3,Excess Greenness,67.88838196,4180,2765,-1194,1517
T3,Excess Greenness,83.32311249,4259,2793,-1179,1563
T3,Excess Greenness,69.67448425,4290,2824,-1185,1598
T3,Excess Greenness,45.93379211,4228,2911,-1295,1568
T3,Excess Greenness,55.70867157,4438,2854,-1197,1644
T3,Excess Greenness,65.6906662,4538,2829,-1110,1696
T3,Excess Greenness,58.02873993,4700,2847,-1076,1766
T3,Excess Greenness,40.64374161,4584,2848,-1161,1709
T3,Excess Greenness,40.09685898,3917,2913,-1411,1464
T3,Excess Greenness,47.19873428,4201,2997,-1421,1563
T3,Excess Greenness,41.42987061,4373,2969,-1337,1637
T3,Excess Greenness,39.93161392,4499,2940,-1281,1666
T3,Excess Greenness,33.59550476,4531,2889,-1271,1671
T3,Excess Greenness,34.44774246,3699,2917,-1518,1308
T3,Excess Greenness,39.32069397,3923,3007,-1522,1414
T3,Excess Greenness,49.34063721,4063,2952,-1401,1467
T3,Excess Greenness,45.81451416,4151,2946,-1374,1552
T3,Excess Greenness,31.72080803,3639,2841,-1531,1260
T3,Excess Greenness,54.04468918,3794,2865,-1458,1350
T3,Excess Greenness,84.59040833,4215,2701,-1137,1525
T3,Excess Greenness,82.88682556,4424,2648,-990,1676
T3,Excess Greenness,45.61678696,3340,2718,-1414,1153
T3,Excess Greenness,47.27450943,3646,2725,-1479,1277
T3,Excess Greenness,66.82051849,3863,2600,-1213,1368
T3,Excess Greenness,90.55312347,4337,2437,-896,1613
T3,Excess Greenness,94.12854004,4693,2574,-881,1788
T3,Excess Greenness,49.97838593,2438,2854,-1532,822
T3,Excess Greenness,57.57976532,3672,2605,-1350,1293
T3,Excess Greenness,70.82394409,3912,2516,-1139,1412
T3,Excess Greenness,89.80477142,4408,2442,-859,1639
T3,Excess Greenness,29.79199219,2303,2665,-1432,758
T3,Excess Greenness,35.23883057,1632,3105,-1608,487
T3,Excess Greenness,58.53873062,3005,2590,-1321,1084
T3,Excess Greenness,64.5956192,3873,2474,-1071,1424
T3,Excess Greenness,76.82518768,4384,2566,-965,1656
T3,Excess Greenness,29.04112434,1912,3027,-1567,558
T3,Excess Greenness,55.85561752,2466,2783,-1464,780
T3,Excess Greenness,67.42232513,3844,2588,-1063,1374
T3,Excess Greenness,45.0404892,1810,3122,-1600,511
T3,Excess Greenness,62.34256744,3182,2783,-1294,1146
T2,Excess Greenness,26.03589058,2562,3024,-1602,755
T2,Excess Greenness,25.03369141,2570,3114,-1612,896
T2,Excess Greenness,31.00010681,3622,2968,-1521,1248
T2,Excess Greenness,19.32161331,3521,3003,-1666,1199
T2,Excess Greenness,12.19107246,3542,3058,-1749,1215
T2,Excess Greenness,15.42363358,3784,3159,-1666,1360
T2,Excess Greenness,13.98385334,3647,3104,-1654,1271
T2,Excess Greenness,23.11978722,3688,3096,-1598,1308
T2,Excess Greenness,23.48931503,3792,3074,-1565,1329
T2,Excess Greenness,14.30732632,3696,3052,-1670,1285
T2,Excess Greenness,14.55146694,3658,3137,-1702,1262
T2,Excess Greenness,14.02698898,3651,2933,-1586,1302
T2,Excess Greenness,9.122121811,3733,3207,-1672,1308
T2,Excess Greenness,16.072855,3722,3218,-1698,1309
T2,Excess Greenness,29.99939346,3950,3208,-1555,1422
T2,Excess Greenness,26.18165207,3946,3181,-1568,1417
T2,Excess Greenness,27.32440376,3938,2925,-1405,1447
T2,Excess Greenness,20.09634209,3698,2977,-1509,1335
T2,Excess Greenness,10.26910591,3840,3178,-1643,1347
T2,Excess Greenness,10.93591118,3719,3230,-1697,1319
T2,Excess Greenness,19.64658546,3859,3287,-1693,1371
T2,Excess Greenness,44.41320419,3866,3027,-1561,1412
T2,Excess Greenness,38.07319641,3886,2999,-1467,1418
T2,Excess Greenness,32.31977081,3875,3004,-1419,1413
T2,Excess Greenness,15.74850178,4027,3149,-1545,1414
T2,Excess Greenness,17.79187775,3995,3217,-1645,1426
T2,Excess Greenness,49.1943779,3843,3040,-1596,1417
T2,Excess Greenness,55.83226395,3961,3055,-1531,1464
T2,Excess Greenness,42.38500977,4037,3070,-1452,1501
T2,Excess Greenness,25.58269501,4123,3188,-1511,1494
T2,Excess Greenness,27.90390778,4276,3235,-1562,1555
T2,Excess Greenness,51.64393234,3985,3072,-1590,1466
T2,Excess Greenness,50.33914566,4015,3102,-1619,1491
T2,Excess Greenness,46.67279053,4065,3128,-1587,1527
T2,Excess Greenness,34.05542374,4158,3238,-1606,1509
T2,Excess Greenness,52.6121254,4000,3141,-1652,1499
T1,Excess Greenness,61.16107178,4831,3266,-1132,1987
T1,Excess Greenness,64.55101013,4949,3139,-985,2032
T1,Excess Greenness,56.06367111,4542,3224,-1133,1826
T1,Excess Greenness,56.94799042,4385,3208,-1174,1761
T1,Excess Greenness,62.03017044,4432,3181,-1173,1767
T1,Excess Greenness,61.05639267,4961,3276,-1033,2027
T1,Excess Greenness,57.83395767,4802,3196,-1051,1918
T1,Excess Greenness,50.96067047,4377,3251,-1202,1729
T1,Excess Greenness,52.18675232,4288,3214,-1200,1713
T1,Excess Greenness,57.0933342,4275,3176,-1224,1675
T1,Excess Greenness,57.37891006,4753,3232,-1073,1939
T1,Excess Greenness,57.15361404,4615,3249,-1120,1850
T1,Excess Greenness,57.80541611,4525,3230,-1158,1798
T1,Excess Greenness,61.15377426,4467,3134,-1135,1761
T1,Excess Greenness,54.50054169,4895,3244,-1082,1971
T1,Excess Greenness,54.57878113,4733,3220,-1123,1899
T1,Excess Greenness,59.29706573,4715,3170,-1054,1900
T1,Excess Greenness,61.84027863,4906,3112,-1026,1932
T1,Excess Greenness,39.73227692,4653,3348,-1206,1891
T1,Excess Greenness,51.86949539,4771,3244,-1135,1911
T1,Excess Greenness,54.1830101,4661,3157,-1111,1853
T1,Excess Greenness,52.89382172,4671,3104,-1070,1847
T1,Excess Greenness,48.79211426,4656,3062,-1053,1902
T1,Excess Greenness,36.34483337,4391,3297,-1251,1754
T1,Excess Greenness,42.8547287,4472,3208,-1198,1763
T1,Excess Greenness,50.63630676,4557,3068,-1081,1803
T1,Excess Greenness,46.63768005,4541,2915,-982,1784
T1,Excess Greenness,33.75892639,4671,3212,-1126,1868
T1,Excess Greenness,39.48535919,4530,3278,-1225,1793
T1,Excess Greenness,39.62096786,4037,3186,-1299,1570
T1,Excess Greenness,47.67321777,4102,3055,-1186,1575
T1,Excess Greenness,37.75864029,4175,2952,-1096,1615
T1,Excess Greenness,30.90626717,4718,3296,-1184,1901
T1,Excess Greenness,37.2009964,4383,3344,-1287,1743
T1,Excess Greenness,54.72009277,4131,3133,-1258,1625
T1,Excess Greenness,64.52358246,4552,3013,-1065,1789
T1,Excess Greenness,58.72554016,4607,2983,-992,1830
T1,Excess Greenness,46.60351944,4458,3237,-1239,1775
T1,Excess Greenness,65.15768433,4485,3106,-1194,1775
T1,Excess Greenness,73.52554321,5078,3025,-948,2041
